## SL2 field_label weight(automorphic) level(HNF) cusp-dim new-cusp-dim
2.0.19.1 2 [176,8,4] 6 0
2.0.19.1 3 [176,8,4] 12 0
2.0.19.1 2 [187,13,1] 0 0
2.0.19.1 3 [187,13,1] 4 0
2.0.19.1 2 [187,156,1] 0 0
2.0.19.1 3 [187,156,1] 4 0
2.0.19.1 2 [187,30,1] 0 0
2.0.19.1 3 [187,30,1] 4 0
2.0.19.1 2 [188,12,2] 5 3
2.0.19.1 3 [188,12,2] 6 0
2.0.19.1 2 [188,80,2] 5 3
2.0.19.1 3 [188,80,2] 6 0
2.0.19.1 2 [191,154,1] 0 0
2.0.19.1 3 [191,154,1] 2 0
2.0.19.1 2 [191,36,1] 0 0
2.0.19.1 3 [191,36,1] 2 0
2.0.19.1 2 [196,0,14] 19 5
2.0.19.1 3 [196,0,14] 42 10
2.0.19.1 2 [196,66,2] 4 1
2.0.19.1 3 [196,66,2] 16 1
2.0.19.1 2 [197,150,1] 0 0
2.0.19.1 3 [197,150,1] 2 0
2.0.19.1 2 [197,46,1] 0 0
2.0.19.1 3 [197,46,1] 2 0
2.0.19.1 2 [19,9,1] 1 1
2.0.19.1 3 [19,9,1] 2 0
2.0.19.1 4 [19,9,1] 8 4
2.0.19.1 2 [199,128,1] 0 0
2.0.19.1 3 [199,128,1] 2 0
2.0.19.1 5 [19,9,1] 4 0
2.0.19.1 6 [19,9,1] 14 8
2.0.19.1 7 [19,9,1] 8 0
2.0.19.1 2 [199,70,1] 0 0
2.0.19.1 3 [199,70,1] 2 0
2.0.19.1 2 [20,0,2] 3 1
2.0.19.1 3 [20,0,2] 6 0
2.0.19.1 4 [20,0,2] 12 0
2.0.19.1 5 [20,0,2] 16 0
2.0.19.1 6 [20,0,2] 20 0
2.0.19.1 2 [207,30,3] 6 2
2.0.19.1 3 [207,30,3] 10 0
2.0.19.1 2 [207,36,3] 6 2
2.0.19.1 3 [207,36,3] 10 0
2.0.19.1 2 [20,8,2] 3 1
2.0.19.1 3 [20,8,2] 6 0
2.0.19.1 4 [20,8,2] 12 0
2.0.19.1 5 [20,8,2] 16 0
2.0.19.1 6 [20,8,2] 20 0
2.0.19.1 2 [209,123,1] 2 0
2.0.19.1 3 [209,123,1] 4 0
2.0.19.1 2 [209,85,1] 2 0
2.0.19.1 3 [209,85,1] 4 0
2.0.19.1 2 [215,100,1] 0 0
2.0.19.1 3 [215,100,1] 4 0
2.0.19.1 2 [215,114,1] 0 0
2.0.19.1 3 [215,114,1] 4 0
2.0.19.1 2 [215,14,1] 0 0
2.0.19.1 3 [215,14,1] 4 0
2.0.19.1 2 [215,200,1] 0 0
2.0.19.1 3 [215,200,1] 4 0
2.0.19.1 2 [220,38,2] 9 1
2.0.19.1 3 [220,38,2] 12 0
2.0.19.1 2 [220,48,2] 9 1
2.0.19.1 3 [220,48,2] 12 0
2.0.19.1 2 [220,60,2] 9 1
2.0.19.1 3 [220,60,2] 12 0
2.0.19.1 2 [220,70,2] 9 1
2.0.19.1 3 [220,70,2] 12 0
2.0.19.1 2 [225,0,15] 23 9
2.0.19.1 3 [225,0,15] 46 14
2.0.19.1 2 [225,12,3] 8 2
2.0.19.1 3 [225,12,3] 20 3
2.0.19.1 2 [225,60,3] 8 2
2.0.19.1 3 [225,60,3] 20 3
2.0.19.1 2 [229,139,1] 0 0
2.0.19.1 3 [229,139,1] 2 0
2.0.19.1 2 [229,89,1] 0 0
2.0.19.1 3 [229,89,1] 2 0
2.0.19.1 2 [23,10,1] 0 0
2.0.19.1 3 [23,10,1] 2 0
2.0.19.1 4 [23,10,1] 4 0
2.0.19.1 5 [23,10,1] 4 0
2.0.19.1 6 [23,10,1] 6 0
2.0.19.1 2 [23,12,1] 0 0
2.0.19.1 3 [23,12,1] 2 0
2.0.19.1 4 [23,12,1] 4 0
2.0.19.1 5 [23,12,1] 4 0
2.0.19.1 6 [23,12,1] 6 0
2.0.19.1 7 [23,12,1] 8 0
2.0.19.1 2 [233,166,1] 1 1
2.0.19.1 3 [233,166,1] 2 0
2.0.19.1 2 [233,66,1] 1 1
2.0.19.1 3 [233,66,1] 2 0
2.0.19.1 2 [235,100,1] 6 6
2.0.19.1 3 [235,100,1] 4 0
2.0.19.1 2 [235,134,1] 6 6
2.0.19.1 3 [235,134,1] 4 0
2.0.19.1 2 [235,194,1] 0 0
2.0.19.1 3 [235,194,1] 4 0
2.0.19.1 2 [235,40,1] 0 0
2.0.19.1 3 [235,40,1] 4 0
2.0.19.1 2 [239,204,1] 0 0
2.0.19.1 3 [239,204,1] 2 0
2.0.19.1 2 [239,34,1] 0 0
2.0.19.1 3 [239,34,1] 2 0
2.0.19.1 2 [244,106,2] 3 1
2.0.19.1 3 [244,106,2] 6 0
2.0.19.1 2 [244,14,2] 3 1
2.0.19.1 3 [244,14,2] 6 0
2.0.19.1 2 [245,0,7] 13 3
2.0.19.1 3 [245,0,7] 28 0
2.0.19.1 2 [245,15,1] 0 0
2.0.19.1 3 [245,15,1] 12 0
2.0.19.1 2 [245,180,1] 6 6
2.0.19.1 3 [245,180,1] 12 0
2.0.19.1 2 [245,229,1] 0 0
