[275,30,5]   0  3 
[277,23,1]   0  1 
[277,253,1]   0  1 
[281,33,1]   0  1 
[281,247,1]   0  1 
[284,62,2]   0  7 
[284,78,2]   0  7 
[284,102,1]   0  5 
[284,110,1]   0  5 
[284,173,1]   0  5 
[284,181,1]   0  5 
[288,0,12]   0 23 
[288,12,12]   0 23 
[288,12,6]   2 19 
[288,30,6]   2 19 
[288,15,3]   1 11 
[288,78,3]   1 11 
[289,0,17]   1  1 
[296,16,2]   1 11 
[296,56,2]   0 11 
[296,90,2]   0 11 
[296,130,2]   1 11 
[296,45,1]   0  7 
[296,82,1]   0  7 
[296,213,1]   0  7 
[296,250,1]   0  7 
[298,34,1]   0  3 
[298,114,1]   0  3 
[298,183,1]   0  3 
[298,263,1]   0  3 
[301,24,1]   0  3 
[301,276,1]   0  3 
[302,69,1]   0  3 
[302,81,1]   1  3 
[302,220,1]   1  3 
[302,232,1]   0  3 
[308,34,2]   4 15 
[308,118,2]   4 15 
[308,17,1]   0 11 
[308,94,1]   0 11 
[308,213,1]   0 11 
[308,290,1]   0 11 
[316,24,2]   2  7 
[316,132,2]   2  7 
[316,66,1]   1  5 
[316,145,1]   3  5 
[316,170,1]   3  5 
[316,249,1]   1  5 
[317,83,1]   0  1 
[317,233,1]   0  1 
[319,50,1]   0  3 
[319,94,1]   0  3 
[319,224,1]   0  3 
[319,268,1]   0  3 
[322,59,1]   4  7 
[322,101,1]   4  7 
[322,220,1]   4  7 
[322,262,1]   4  7 
[324,0,18]   2 23 
[324,9,9]   0 17 
[324,18,9]   0 17 
[326,25,1]   0  3 
[326,137,1]   1  3 
[326,188,1]   1  3 
[326,300,1]   0  3 
[331,156,1]   0  1 
[331,174,1]   0  1 
[333,24,3]   0  3 
[333,84,3]   0  3 
[337,124,1]   0  1 
[337,212,1]   0  1 
[338,0,13]   0  3 
[338,13,13]   0  3 
[343,21,7]   0  7 
[344,36,2]   8 11 
[344,48,2]   7 11 
[344,122,2]   7 11 
[344,134,2]   8 11 
[344,18,1]   3  7 
[344,61,1]   3  7 
